period,account_code,account_name,account_type,debit,credit,ending_balance,source
2024-01,1000,Cash,Asset,775557.68,215930.48,559627.2,GL
2024-01,1100,Accounts Receivable,Asset,209262.81,125557.68,83705.13,GL
2024-01,1500,Fixed Assets,Asset,6682.81,0,6682.81,GL
2024-01,1600,Accumulated Depreciation,Asset,0,2000,2000,GL
2024-01,2000,Accounts Payable,Liability,54098.66,90164.43,36065.76999999999,GL
2024-01,3000,Common Stock,Equity,0,650000,650000,GL
2024-01,3900,Retained Earnings,Equity,0,0,-38050.63,derived_plug
2024-01,4000,Product Revenue,Revenue,0,184552.55,184552.55,GL
2024-01,4100,Service Revenue,Revenue,0,24710.26,24710.26,GL
2024-01,5000,Cost of Goods Sold,Expense,58874.54,0,58874.54,GL
2024-01,6000,Salaries & Wages,Expense,104550.87,0,104550.87,GL
2024-01,6100,Employee Benefits,Expense,22396.62,0,22396.62,GL
2024-01,6200,Software & Subscriptions,Expense,8625.75,0,8625.75,GL
2024-01,6300,Marketing & Advertising,Expense,16339.63,0,16339.63,GL
2024-01,6400,Travel & Entertainment,Expense,4107.46,0,4107.46,GL
2024-01,6500,Professional Fees,Expense,14950.26,0,14950.26,GL
2024-01,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-01,6700,Depreciation,Expense,2000,0,2000,GL
2024-01,6800,Office Supplies,Expense,969.04,0,969.04,GL
2024-01,6900,Utilities,Expense,2499.27,0,2499.27,GL
2024-02,1000,Cash,Asset,179757.65,230797.78,508587.06999999995,GL
2024-02,1100,Accounts Receivable,Asset,215890.96,179757.65,119838.44,GL
2024-02,1500,Fixed Assets,Asset,0,0,6682.81,GL
2024-02,1600,Accumulated Depreciation,Asset,0,2000,4000,GL
2024-02,2000,Accounts Payable,Liability,76925.44,92143.3,51283.62999999999,GL
2024-02,3000,Common Stock,Equity,0,0,650000,GL
2024-02,3900,Retained Earnings,Equity,0,0,-70175.31,derived_plug
2024-02,4000,Product Revenue,Revenue,0,192923.18,192923.18,GL
2024-02,4100,Service Revenue,Revenue,0,22967.78,22967.78,GL
2024-02,5000,Cost of Goods Sold,Expense,61741.71,0,61741.71,GL
2024-02,6000,Salaries & Wages,Expense,104490.61,0,104490.61,GL
2024-02,6100,Employee Benefits,Expense,23040.7,0,23040.7,GL
2024-02,6200,Software & Subscriptions,Expense,7862.26,0,7862.26,GL
2024-02,6300,Marketing & Advertising,Expense,15242.26,0,15242.26,GL
2024-02,6400,Travel & Entertainment,Expense,3411.57,0,3411.57,GL
2024-02,6500,Professional Fees,Expense,15159.33,0,15159.33,GL
2024-02,6600,Rent & Facilities,Expense,12000,0,12000,GL
2024-02,6700,Depreciation,Expense,2000,0,2000,GL
2024-02,6800,Office Supplies,Expense,1185.38,0,1185.38,GL
2024-02,6900,Utilities,Expense,1881.82,0,1881.82,GL
2024-03,1000,Cash,Asset,200794.44,230583.25,478798.25999999995,GL
2024-03,1100,Accounts Receivable,Asset,214818.97,200794.44,133862.97,GL
2024-03,1500,Fixed Assets,Asset,0,0,6682.81,GL
2024-03,1600,Accumulated Depreciation,Asset,0,2000,6000,GL
2024-03,2000,Accounts Payable,Liability,80528.03,82929.75,53685.34999999999,GL
2024-03,3000,Common Stock,Equity,0,0,650000,GL
2024-03,3900,Retained Earnings,Equity,0,0,-90341.31,derived_plug
2024-03,4000,Product Revenue,Revenue,0,188494.09,188494.09,GL
2024-03,4100,Service Revenue,Revenue,0,26324.88,26324.88,GL
2024-03,5000,Cost of Goods Sold,Expense,61923.4,0,61923.4,GL
2024-03,6000,Salaries & Wages,Expense,100846.26,0,100846.26,GL
2024-03,6100,Employee Benefits,Expense,22122.58,0,22122.58,GL
2024-03,6200,Software & Subscriptions,Expense,7948.28,0,7948.28,GL
2024-03,6300,Marketing & Advertising,Expense,15362.53,0,15362.53,GL
2024-03,6400,Travel & Entertainment,Expense,3961.91,0,3961.91,GL
2024-03,6500,Professional Fees,Expense,5643.82,0,5643.82,GL
